"ID",Main Task,Sub Task,Status,%,Priority,Owner,Blocked By,Notes
MOB-036,Voice agent,Update in-app assistant prompt for priorInquiries,Not Started,0,P1,Dev,,Prompts now live in prompts/ and are pushed with `npm run ello:sync -- --role companion` — no longer dashboard-only. Still to do: teach the prompt to open from the new userContext brief (MOB-047).
MOB-037,Release readiness,Release signing config + keystore,Not Started,0,P0,Dev,,Debug build only today
MOB-038,Release readiness,ProGuard/R8 rules for Upshot + Ello SDKs,Not Started,0,P0,Dev,,Release builds will strip SDK classes without them
MOB-039,Release readiness,Version/build number strategy,Not Started,0,P1,Dev,,"Currently hardcoded appVersion ""1.0"""
MOB-040,Release readiness,Crash reporting (Sentry or Upshot crash log),Not Started,0,P1,Dev,,EnableCrashLog is on but nothing consumes it
MOB-041,Release readiness,"Play Store listing, privacy policy, data-safety form",Not Started,0,P0,Ops,,Data-safety form must match what we actually collect
MOB-042,Release readiness,Permissions audit,Not Started,0,P1,Dev,,Location + external storage deliberately disabled
MOB-043,Release readiness,DEV_API_BASE reset to empty before release build,Not Started,0,P0,Dev,,Currently points at localhost via adb reverse
MOB-044,Release readiness,Deep-link (context token) verification,Not Started,0,P1,QA,,swiftloan://onboard?token=…
MOB-045,Release readiness,Offline / poor-network behaviour test,Not Started,0,P1,QA,,Demo fallback path exists but is untested on-device
MOB-046,Release readiness,Accessibility pass,Not Started,0,P2,Dev,,
MOB-047,Journey tracking,"GET /api/context/me — full history for the signed-in phone, handed to the in-app agent",Done,100,P1,Dev,,"The non-deep-link path: a Play Store install arrives with only a phone number. Returns stage, website enquiries, last call + outcome, application/loan, and a one-line brief the agent can open from. Fetched on login (either route) and passed via registerPageContext."
MOB-048,Upshot SDK,Fix Upshot native wiring (auth was failing outright),Done,100,P0,Dev,,"Four hard blockers, not polish: (1) init keys must be bkApplicationID/bkApplicationOwnerID, not AppId/OwnerId — the bridge copies them verbatim, so auth returned ""Invalid parameters""; (2) MainApplication must extend UpshotApplication or its static application field stays null; (3) androidx.work missing → NoClassDefFoundError crash on launch; (4) no FirebaseMessagingService existed, so data-only Upshot pushes were silently dropped. Auth now returns status:true."
MOB-049,Notifications,SMS OTP delivery in production,Not Started,0,P0,Dev,SMS provider + DLT registration,"LAUNCH BLOCKER. createOtp() says ""in production this is sent via SMS"" but NO SMS sender exists (no Twilio/MSG91/Gupshup/Kaleyra/Exotel anywhere). Today the code is returned in the API response for dev/demo and is undefined in production — so nobody can log in to the production app. Needs a DLT-registered Indian sender; template pre-registration takes days (TRAI)."
MOB-050,Notifications,"WhatsApp messaging (app link, nudges)",Not Started,0,P1,Dev,Upshot WhatsApp channel,"StallRule already accepts whatsapp/sms as channels, but the dispatch queue only handles upshot_event and upshot_user_upsert — nothing sends WhatsApp directly. Delivery is delegated to Upshot campaigns, so it is only as configured as those are. Decide: keep delegating, or add a direct send path alongside MOB-049."
